,0,1,2,3,4,5
2018-12-31,124.80198669433594,118.8104019165039,118.73318481445312,130.16720581054688,114.98661041259766,109.18107604980469
2019-01-31,110.4583740234375,109.99959564208984,127.20144653320312,104.78567504882812,107.0506820678711,110.45207214355469
2019-02-28,112.99776458740234,130.05870056152344,113.22142028808594,108.2736587524414,120.49586486816406,109.04474639892578
2019-03-31,123.39501953125,106.49329376220703,107.8050308227539,112.28724670410156,108.95819091796875,95.79855346679688
2019-04-30,100.96126556396484,101.55797576904297,111.44212341308594,102.0237045288086,95.65091705322266,101.90851593017578
2019-05-31,101.18141174316406,110.14871215820312,106.728759765625,94.36300659179688,107.46183013916016,97.96556091308594
2019-06-30,111.77523803710938,107.11963653564453,100.31710815429688,107.57317352294922,105.4269790649414,105.4582748413086
2019-07-31,103.7117691040039,95.8278579711914,108.83634948730469,100.3502426147461,108.18523406982422,102.99079132080078
2019-08-31,98.24180603027344,110.43318939208984,107.14617919921875,108.43305969238281,111.6054916381836,104.56948852539062
2019-09-30,104.92566680908203,101.1605453491211,108.20708465576172,104.3232650756836,105.13037872314453,95.51715087890625
2019-10-31,105.24391174316406,111.44194030761719,113.44505310058594,107.42224884033203,105.77986145019531,114.80207824707031
2019-11-30,110.3698501586914,110.88386535644531,110.84091186523438,102.12820434570312,120.24118041992188,99.53495788574219
2019-12-31,105.53843688964844,104.77721405029297,101.25611114501953,111.52360534667969,99.75828552246094,95.29723358154297
2020-01-31,103.84893798828125,99.57056427001953,116.05428314208984,97.46173858642578,100.40459442138672,101.0950927734375
2020-02-29,105.22786712646484,121.20973205566406,107.38370513916016,103.47936248779297,113.25438690185547,104.49784851074219
2020-03-31,117.48603057861328,103.058349609375,104.89533233642578,107.164794921875,107.06035614013672,91.0205307006836
2020-04-30,94.88738250732422,95.94085693359375,103.09273529052734,96.38610076904297,88.10579681396484,97.16206359863281
2020-05-31,80.54714965820312,86.44444274902344,85.3053207397461,73.80364227294922,85.61692810058594,76.9990005493164
2020-06-30,83.90042877197266,82.40584564208984,75.41471099853516,84.02948760986328,79.11966705322266,78.60152435302734
